Slayer Level,Creature,Weighting,Assign Min,Assign Max,Extendable,Quantity Min,Quantity Max,Points Min,Points Max,Clue Min,Clue Max,XP Min,XP Max,Drop Min,Drop Max,Heart Denominator,Travel Time,Kills Per Hour,Normal Experience,Superior Experience
5,Crawling Hands,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%,1376,7,1565,12,550
10,Cave Crawlers,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%,1336,5,1384,22,600
15,Banshees,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%,1288,27,1333,22,610
20,Rockslugs,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%,1240,32,1125,27,770
25,Cockatrice,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%,1192,39,818,37,950
30,Pyrefiends,10,35,50,No,-15,-30,5,15,75.00%,150.00%,25.00%,100.00%,50.00%,100.00%,1144,21,857,45,1250
45,Infernal Mages,10,35,50,No,-15,-30,5,15,N/A,N/A,25.00%,100.00%,50.00%,100.00%,960,47,642,60,1750
50,Bloodveld,8,120,180,Yes,50,100,10,15,35.00%,75.00%,5.00%,15.00%,100.00%,150.00%,896,45,600,120,2900
51,Gryphons,10,80,120,Yes,50,100,10,25,75.00%,150.00%,20.00%,50.00%,100.00%,150.00%,888,56,600,110,2800
52,Jellies,10,80,120,No,50,100,10,15,35.00%,75.00%,10.00%,25.00%,100.00%,150.00%,872,44,840,75,1900
54,Custodian Stalkers,8,80,120,Yes,50,100,10,15,N/A,N/A,10.00%,25.00%,100.00%,150.00%,504,86,440,250,3382
55,Turoth,10,80,120,No,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,832,50,383,76,1998
56,Warped Creatures,10,80,120,No,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,816,70,457,150,3200
58,Cave Horrors,10,80,120,Yes,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,784,75,610,55,1300
60,Aberrant Spectres,10,80,120,Yes,30,80,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,760,34,500,90,2500
60,Basilisks,10,40,60,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,1024,38,450,75,1700
62,Wyrms,10,80,120,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,728,45,250,123,3120
65,Dust Devils,8,120,180,Yes,50,150,10,15,N/A,N/A,10.00%,20.00%,100.00%,150.00%,680,49,780,105,3000
70,Kurask,10,40,60,No,30,80,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,600,70,290,97,2767
74,Venators,10,120,180,Yes,50,100,10,25,75.00%,150.00%,35.00%,75.00%,50.00%,100.00%,536,60,107,405,3622
75,Gargoyles,10,120,180,Yes,50,100,15,30,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,520,17,380,105,3044
78,Aquanites,10,40,60,Yes,50,100,25,40,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,472,50,200,180,4200
80,Nechryael,8,150,200,Yes,50,100,10,20,35.00%,75.00%,15.00%,30.00%,70.00%,120.00%,440,42,520,105,3280
84,Drakes,10,40,60,No,30,80,25,40,75.00%,150.00%,25.00%,75.00%,75.00%,150.00%,368,55,155,231,7245
85,Abyssal Demons,8,120,180,Yes,50,100,10,25,35.00%,75.00%,10.00%,25.00%,30.00%,60.00%,352,47,650,150,4200
90,Dark Beasts,10,40,60,Yes,30,80,10,25,75.00%,150.00%,35.00%,75.00%,200.00%,300.00%,256,17,205,225,6462
92,Araxytes,8,120,180,Yes,200,250,10,20,35.00%,75.00%,5.00%,15.00%,10.00%,25.00%,224,20,769,100,4658
93,Smoke Devils,8,80,120,No,50,100,10,20,35.00%,75.00%,5.00%,15.00%,10.00%,25.00%,200,50,800,185,2400
95,Hydras,10,150,200,No,50,100,15,30,75.00%,150.00%,10.00%,30.00%,75.00%,150.00%,160,45,149,322,8625
